obsid,uid,KIC,ra,dec,SNR_g,SNR_r,Gaiamag,R_Gaia,R_Kepler,R_TranSR-Net
241011112,G14075434388073,11500000,291.136083,49.366083,331.22,458.16,10.268551,1.2597,1.22,1.3196
241015188,G14078553299001,10700000,290.544083,48.046722,61.22,73.45,11.167076,1.9971,1.98,2.0224
241715026,G14071866187515,7383120,297.2375,42.975333,173.36,291.48,10.857173,1.5044,1.42,1.5418
247608164,G14086202378500,8174170,294.693583,44.060472,240.8,389.15,11.647077,1.9015,2.18,2.0716
247615143,G14077366846887,9287845,294.5545,45.777306,260.32,365.98,10.956627,2.313,2.26,2.5828
247615239,G14077309392441,9026685,293.549708,45.361528,251.44,407.06,11.049568,1.9208,1.71,1.6832
243015081,G14024822334597,5686856,284.8175208,40.94536944,131.65,195.21,10.427095,1.9002,1.78,2.0224
243103011,G14026891501866,4346201,285.285917,39.498056,341.4,413.05,9.872071,2.1095,2.02,2.0224
248605043,G14075453425793,11300000,290.636083,49.037556,239.53,348.5,11.814838,1.912,1.78,1.7929
248615051,G14027585441691,12300000,289.489083,51.038139,371.23,483.6,9.972396,1.902,1.83,1.9744
249204141,L14031426847963,10900000,286.19,48.359278,487.24,659.17,10.807463,2.2539,2.17,2.2153
249205180,G14031596671516,10700000,285.396083,48.096139,89.21,114.04,11.075784,1.6405,1.48,1.6598
249601064,G14074984996637,11000000,290.426417,48.443389,269.36,499.47,10.622383,1.8464,1.88,1.7936
249603157,G14027501845323,12000000,289.440721,50.480167,304.82,329.53,19.506714,1.4551,1.43,1.5418
347110082,G14033421540123,9446628,282.044962,46.067874,115.33,163.37,10.557503,1.9461,1.96,2.1716
351013110,G14075014074469,11700000,289.37253,49.834641,143.48,240.27,11.051292,1.6339,1.56,1.7053
351104176,G14031445154970,11100000,286.33835,48.744099,126.31,206.93,11.081732,1.4483,1.36,1.5242
351108200,G14030918054707,10700000,287.6699,47.935853,77.83,109.23,10.648559,1.2716,1.26,1.2965
350601061,G14074979620816,11000000,290.05948,48.42955,279.95,330.07,11.358195,2.4788,2.43,2.2716
350601077,G14078561261128,10900000,290.72382,48.283741,198.4,237.24,10.466357,1.5391,1.43,1.4794
350601152,G14074954189491,11000000,290.71826,48.54089,308.9,362.01,10.323761,1.3676,1.37,1.3692
347105041,G14030286969807,9390670,284.9310919,45.9604825,227.63,320.15,9.511572,1.8394,1.66,1.7578
347107148,G14076617497131,9273544,288.4957975,45.7205258,230.13,342.9,10.957321,1.6313,1.55,1.7425
350901008,G14029983727012,9821513,287.08441,46.603569,144.92,181.97,10.985251,1.9705,1.92,2.0986
350904122,G14030966664873,11100000,287.14713,48.692329,161.7,226.08,10.42491,1.5202,1.48,1.6598
350907185,G14078394188745,10400000,289.27032,47.56543,62.58,97.73,11.579268,2.0892,1.92,2.1546
350912235,L14027578761986,12300000,288.49884,50.955608,100.53,138.91,11.440541,2.3705,2.27,2.4676
350603077,G14028251913741,11800000,288.83054,49.99509,428.62,476.87,10.77697,1.8723,1.82,1.9163
350605024,G14075429503513,11200000,291.14813,48.840462,374.64,528.41,10.756104,2.488,2.26,2.2716
350608103,G14075352476878,11500000,292.02246,49.41589,218.97,319.79,11.34609,1.8157,1.6,1.8387
350708018,G14075358160247,11600000,292.23163,49.647968,209.42,298.45,11.436677,1.7434,1.69,1.7929
360111131,G14077604881290,10100000,294.14072,47.04496,147.19,216.99,11.131727,2.5041,2.39,2.5828
360115230,G14077529245727,9093289,293.4744,45.480381,201.53,289.84,11.054542,1.5067,1.42,1.6317
362003007,G14031698193374,7739672,286.31458,43.46262,487.8,629.04,10.872416,1.8423,1.74,1.8789
359904055,G14085796782359,8696343,294.51831,44.815262,308.2,446.05,10.693599,1.2586,1.18,1.3154
359906173,G14072332333785,8114155,297.12653,43.90144,94.55,151.82,11.227762,1.6537,1.51,1.6732
359907064,G14085903634616,7376493,295.68683,42.921982,150.45,258.98,11.506587,1.5072,1.49,1.51
359910004,G14083766144818,8493800,291.26053,44.54549,224.17,354.8,10.665151,1.5311,1.49,1.5658
359910198,G14083892352049,8027956,291.49377,43.861092,140.06,221.07,11.591023,1.7823,1.71,1.7425
359911060,G14077771059193,9778067,294.82724,46.562859,139.8,216.17,11.542816,2.0382,2.16,1.9744
363410056,G14076325522996,9762786,288.08984,46.520409,333.65,431.5,10.439297,2.0764,1.96,1.9163
363410178,G14029923940355,9579208,287.6376,46.204411,252.34,305.12,10.331029,1.8491,1.85,1.6732
362108227,L14083260728953,7880676,287.7673,43.603161,285.97,365.4,10.847148,2.1223,2.07,2.2153
362111203,G14029947265815,9700430,287.02765,46.454681,237.9,335.21,11.460647,1.5363,1.53,1.5658
